______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/2175: Loss: 2.04 | Accuracy: 0.56
[Training] Itteration/Batch: 2075/2175: Loss: 2.16 | Accuracy: 0.72
[Training] Itteration/Batch: 2100/2175: Loss: 2.17 | Accuracy: 0.92
[Training] Itteration/Batch: 2125/2175: Loss: 0.82 | Accuracy: 0.98
[Training] Itteration/Batch: 2150/2175: Loss: 1.04 | Accuracy: 0.98

Epoch 9: Val Bin. F1 Majority 0.32015809416770935 | Val Macro F1 Majority 0.6445625876937284 |             Val Bin F1 Individual 0.2988271415233612 | Val Macro F1 Individual 0.6310591848191944 |             Val Accuracy Majority 0.9406436085700989 | Val Accuracy Individual 0.9302349090576172 | Training Loss:1.3239623308181763 |             Val Loss 1.5234745740890503 | Train Runtime Millis 160992.10848100483 | Val Runtime Millis 34316.003581974655

______________________________	 Running Epoch 10 of 10 	______________________________
[Training] Itteration/Batch:   0/2175: Loss: 0.95 | Accuracy: 0.98
[Training] Itteration/Batch:  25/2175: Loss: 1.91 | Accuracy: 0.90
[Training] Itteration/Batch:  50/2175: Loss: 0.98 | Accuracy: 0.92
[Training] Itteration/Batch:  75/2175: Loss: 2.35 | Accuracy: 0.92
[Training] Itteration/Batch: 100/2175: Loss: 0.95 | Accuracy: 0.93
[Training] Itteration/Batch: 125/2175: Loss: 0.46 | Accuracy: 1.00
[Training] Itteration/Batch: 150/2175: Loss: 0.40 | Accuracy: 1.00
[Training] Itteration/Batch: 175/2175: Loss: 3.33 | Accuracy: 0.86
[Training] Itteration/Batch: 200/2175: Loss: 0.95 | Accuracy: 0.94
[Training] Itteration/Batch: 225/2175: Loss: 0.86 | Accuracy: 0.88
[Training] Itteration/Batch: 250/2175: Loss: 0.63 | Accuracy: 0.98
[Training] Itteration/Batch: 275/2175: Loss: 2.19 | Accuracy: 0.94
[Training] Itteration/Batch: 300/2175: Loss: 0.47 | Accuracy: 1.00
[Training] Itteration/Batch: 325/2175: Loss: 2.14 | Accuracy: 0.96
[Training] Itteration/Batch: 350/2175: Loss: 2.00 | Accuracy: 0.90
[Training] Itteration/Batch: 375/2175: Loss: 0.56 | Accuracy: 0.94
[Training] Itteration/Batch: 400/2175: Loss: 1.90 | Accuracy: 0.96
[Training] Itteration/Batch: 425/2175: Loss: 0.47 | Accuracy: 1.00
[Training] Itteration/Batch: 450/2175: Loss: 1.29 | Accuracy: 0.91
[Training] Itteration/Batch: 475/2175: Loss: 1.49 | Accuracy: 0.96
[Training] Itteration/Batch: 500/2175: Loss: 1.62 | Accuracy: 0.92
[Training] Itteration/Batch: 525/2175: Loss: 1.38 | Accuracy: 0.94
[Training] Itteration/Batch: 550/2175: Loss: 0.65 | Accuracy: 0.90
[Training] Itteration/Batch: 575/2175: Loss: 1.06 | Accuracy: 0.81
[Training] Itteration/Batch: 600/2175: Loss: 1.18 | Accuracy: 0.98
[Training] Itteration/Batch: 625/2175: Loss: 0.94 | Accuracy: 0.92
[Training] Itteration/Batch: 650/2175: Loss: 0.66 | Accuracy: 0.96
[Training] Itteration/Batch: 675/2175: Loss: 0.43 | Accuracy: 1.00
[Training] Itteration/Batch: 700/2175: Loss: 0.89 | Accuracy: 0.95
[Training] Itteration/Batch: 725/2175: Loss: 1.58 | Accuracy: 0.86
[Training] Itteration/Batch: 750/2175: Loss: 0.41 | Accuracy: 1.00
[Training] Itteration/Batch: 775/2175: Loss: 1.65 | Accuracy: 0.84
[Training] Itteration/Batch: 800/2175: Loss: 1.89 | Accuracy: 0.90
[Training] Itteration/Batch: 825/2175: Loss: 1.67 | Accuracy: 0.92
[Training] Itteration/Batch: 850/2175: Loss: 1.61 | Accuracy: 0.87
[Training] Itteration/Batch: 875/2175: Loss: 2.97 | Accuracy: 0.87
[Training] Itteration/Batch: 900/2175: Loss: 1.09 | Accuracy: 0.93
[Training] Itteration/Batch: 925/2175: Loss: 0.43 | Accuracy: 1.00
[Training] Itteration/Batch: 950/2175: Loss: 1.18 | Accuracy: 0.94
[Training] Itteration/Batch: 975/2175: Loss: 0.68 | Accuracy: 0.90
[Training] Itteration/Batch: 1000/2175: Loss: 0.96 | Accuracy: 0.93
[Training] Itteration/Batch: 1025/2175: Loss: 0.78 | Accuracy: 0.96
[Training] Itteration/Batch: 1050/2175: Loss: 0.81 | Accuracy: 0.94
[Training] Itteration/Batch: 1075/2175: Loss: 1.06 | Accuracy: 0.89
[Training] Itteration/Batch: 1100/2175: Loss: 2.17 | Accuracy: 0.95
[Training] Itteration/Batch: 1125/2175: Loss: 0.98 | Accuracy: 0.96
[Training] Itteration/Batch: 1150/2175: Loss: 0.37 | Accuracy: 1.00
[Training] Itteration/Batch: 1175/2175: Loss: 0.77 | Accuracy: 0.95
[Training] Itteration/Batch: 1200/2175: Loss: 1.19 | Accuracy: 0.83
[Training] Itteration/Batch: 1225/2175: Loss: 1.19 | Accuracy: 0.94
[Training] Itteration/Batch: 1250/2175: Loss: 0.58 | Accuracy: 0.98
[Training] Itteration/Batch: 1275/2175: Loss: 0.46 | Accuracy: 1.00
[Training] Itteration/Batch: 1300/2175: Loss: 1.83 | Accuracy: 0.88
[Training] Itteration/Batch: 1325/2175: Loss: 1.69 | Accuracy: 0.71
[Training] Itteration/Batch: 1350/2175: Loss: 0.55 | Accuracy: 1.00
[Training] Itteration/Batch: 1375/2175: Loss: 0.88 | Accuracy: 0.90
[Training] Itteration/Batch: 1400/2175: Loss: 0.94 | Accuracy: 0.92
[Training] Itteration/Batch: 1425/2175: Loss: 0.64 | Accuracy: 0.95
[Training] Itteration/Batch: 1450/2175: Loss: 0.40 | Accuracy: 1.00
[Training] Itteration/Batch: 1475/2175: Loss: 1.04 | Accuracy: 0.96
[Training] Itteration/Batch: 1500/2175: Loss: 0.54 | Accuracy: 0.98
[Training] Itteration/Batch: 1525/2175: Loss: 0.44 | Accuracy: 1.00
[Training] Itteration/Batch: 1550/2175: Loss: 0.99 | Accuracy: 0.98
[Training] Itteration/Batch: 1575/2175: Loss: 1.02 | Accuracy: 0.91
[Training] Itteration/Batch: 1600/2175: Loss: 1.04 | Accuracy: 0.91
[Training] Itteration/Batch: 1625/2175: Loss: 0.71 | Accuracy: 0.98
[Training] Itteration/Batch: 1650/2175: Loss: 2.47 | Accuracy: 0.96
[Training] Itteration/Batch: 1675/2175: Loss: 1.40 | Accuracy: 0.93
[Training] Itteration/Batch: 1700/2175: Loss: 0.63 | Accuracy: 0.90
[Training] Itteration/Batch: 1725/2175: Loss: 1.95 | Accuracy: 0.91
[Training] Itteration/Batch: 1750/2175: Loss: 0.65 | Accuracy: 0.98
[Training] Itteration/Batch: 1775/2175: Loss: 2.03 | Accuracy: 0.89
[Training] Itteration/Batch: 1800/2175: Loss: 1.45 | Accuracy: 0.80
[Training] Itteration/Batch: 1825/2175: Loss: 0.39 | Accuracy: 1.00
[Training] Itteration/Batch: 1850/2175: Loss: 2.21 | Accuracy: 0.93
[Training] Itteration/Batch: 1875/2175: Loss: 1.69 | Accuracy: 0.98
[Training] Itteration/Batch: 1900/2175: Loss: 1.20 | Accuracy: 0.89
[Training] Itteration/Batch: 1925/2175: Loss: 1.96 | Accuracy: 0.98
[Training] Itteration/Batch: 1950/2175: Loss: 1.06 | Accuracy: 0.96
[Training] Itteration/Batch: 1975/2175: Loss: 0.32 | Accuracy: 1.00
[Training] Itteration/Batch: 2000/2175: Loss: 1.57 | Accuracy: 0.97
[Training] Itteration/Batch: 2025/2175: Loss: 0.81 | Accuracy: 0.88
[Training] Itteration/Batch: 2050/2175: Loss: 1.57 | Accuracy: 0.96
[Training] Itteration/Batch: 2075/2175: Loss: 1.01 | Accuracy: 0.96
[Training] Itteration/Batch: 2100/2175: Loss: 1.26 | Accuracy: 0.95
[Training] Itteration/Batch: 2125/2175: Loss: 2.09 | Accuracy: 0.88
[Training] Itteration/Batch: 2150/2175: Loss: 0.64 | Accuracy: 0.98

Epoch 10: Val Bin. F1 Majority 0.31185808777809143 | Val Macro F1 Majority 0.6392631253879448 |             Val Bin F1 Individual 0.29910606145858765 | Val Macro F1 Individual 0.6301345815931833 |             Val Accuracy Majority 0.9364162087440491 | Val Accuracy Individual 0.9264041781425476 | Training Loss:1.2856131792068481 |             Val Loss 1.510729193687439 | Train Runtime Millis 161079.5839051716 | Val Runtime Millis 34323.775589931756

______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/2175: Loss: 2.04 | Accuracy: 0.56
[Training] Itteration/Batch:  25/2175: Loss: 1.93 | Accuracy: 0.61
[Training] Itteration/Batch:  50/2175: Loss: 2.79 | Accuracy: 0.62
[Training] Itteration/Batch:  75/2175: Loss: 1.99 | Accuracy: 0.80
[Training] Itteration/Batch: 100/2175: Loss: 2.33 | Accuracy: 0.87
[Training] Itteration/Batch: 125/2175: Loss: 1.69 | Accuracy: 0.98
[Training] Itteration/Batch: 150/2175: Loss: 1.99 | Accuracy: 0.93
[Training] Itteration/Batch: 175/2175: Loss: 2.32 | Accuracy: 0.92
[Training] Itteration/Batch: 200/2175: Loss: 3.04 | Accuracy: 0.89
[Training] Itteration/Batch: 225/2175: Loss: 2.94 | Accuracy: 0.85
[Training] Itteration/Batch: 250/2175: Loss: 2.12 | Accuracy: 0.93
[Training] Itteration/Batch: 275/2175: Loss: 1.55 | Accuracy: 0.96
[Training] Itteration/Batch: 300/2175: Loss: 3.41 | Accuracy: 0.82
[Training] Itteration/Batch: 325/2175: Loss: 2.30 | Accuracy: 0.92
[Training] Itteration/Batch: 350/2175: Loss: 1.60 | Accuracy: 0.95
[Training] Itteration/Batch: 375/2175: Loss: 2.06 | Accuracy: 0.93
[Training] Itteration/Batch: 400/2175: Loss: 2.21 | Accuracy: 0.94
[Training] Itteration/Batch: 425/2175: Loss: 1.84 | Accuracy: 0.94
[Training] Itteration/Batch: 450/2175: Loss: 2.02 | Accuracy: 0.93
[Training] Itteration/Batch: 475/2175: Loss: 1.61 | Accuracy: 0.98
[Training] Itteration/Batch: 500/2175: Loss: 1.92 | Accuracy: 0.95
[Training] Itteration/Batch: 525/2175: Loss: 2.08 | Accuracy: 0.95
[Training] Itteration/Batch: 550/2175: Loss: 1.99 | Accuracy: 0.91
[Training] Itteration/Batch: 575/2175: Loss: 1.58 | Accuracy: 0.98
[Training] Itteration/Batch: 600/2175: Loss: 1.77 | Accuracy: 0.96
[Training] Itteration/Batch: 625/2175: Loss: 1.35 | Accuracy: 1.00
[Training] Itteration/Batch: 650/2175: Loss: 2.20 | Accuracy: 0.98
[Training] Itteration/Batch: 675/2175: Loss: 4.29 | Accuracy: 0.93
[Training] Itteration/Batch: 700/2175: Loss: 1.98 | Accuracy: 0.94
[Training] Itteration/Batch: 725/2175: Loss: 1.41 | Accuracy: 0.98
[Training] Itteration/Batch: 750/2175: Loss: 2.41 | Accuracy: 0.94
[Training] Itteration/Batch: 775/2175: Loss: 2.73 | Accuracy: 0.93
[Training] Itteration/Batch: 800/2175: Loss: 2.45 | Accuracy: 0.93
[Training] Itteration/Batch: 825/2175: Loss: 1.86 | Accuracy: 0.96
[Training] Itteration/Batch: 850/2175: Loss: 2.04 | Accuracy: 0.96
[Training] Itteration/Batch: 875/2175: Loss: 1.41 | Accuracy: 0.98
[Training] Itteration/Batch: 900/2175: Loss: 3.63 | Accuracy: 0.91
[Training] Itteration/Batch: 925/2175: Loss: 2.33 | Accuracy: 0.98
[Training] Itteration/Batch: 950/2175: Loss: 1.58 | Accuracy: 0.98
[Training] Itteration/Batch: 975/2175: Loss: 1.73 | Accuracy: 0.96
[Training] Itteration/Batch: 1000/2175: Loss: 1.19 | Accuracy: 1.00
[Training] Itteration/Batch: 1025/2175: Loss: 1.50 | Accuracy: 0.98
[Training] Itteration/Batch: 1050/2175: Loss: 1.29 | Accuracy: 1.00
[Training] Itteration/Batch: 1075/2175: Loss: 2.47 | Accuracy: 0.94
[Training] Itteration/Batch: 1100/2175: Loss: 1.24 | Accuracy: 1.00
[Training] Itteration/Batch: 1125/2175: Loss: 3.44 | Accuracy: 0.91
[Training] Itteration/Batch: 1150/2175: Loss: 1.68 | Accuracy: 0.96
[Training] Itteration/Batch: 1175/2175: Loss: 1.29 | Accuracy: 1.00
[Training] Itteration/Batch: 1200/2175: Loss: 1.49 | Accuracy: 0.98
[Training] Itteration/Batch: 1225/2175: Loss: 1.82 | Accuracy: 0.96
[Training] Itteration/Batch: 1250/2175: Loss: 2.55 | Accuracy: 0.93
[Training] Itteration/Batch: 1275/2175: Loss: 1.54 | Accuracy: 0.98
[Training] Itteration/Batch: 1300/2175: Loss: 1.36 | Accuracy: 0.98
[Training] Itteration/Batch: 1325/2175: Loss: 1.28 | Accuracy: 1.00
[Training] Itteration/Batch: 1350/2175: Loss: 3.27 | Accuracy: 0.93
[Training] Itteration/Batch: 1375/2175: Loss: 1.92 | Accuracy: 0.95
[Training] Itteration/Batch: 1400/2175: Loss: 1.20 | Accuracy: 1.00
[Training] Itteration/Batch: 1425/2175: Loss: 1.02 | Accuracy: 1.00
[Training] Itteration/Batch: 1450/2175: Loss: 1.33 | Accuracy: 0.98
[Training] Itteration/Batch: 1475/2175: Loss: 1.51 | Accuracy: 0.98
[Training] Itteration/Batch: 1500/2175: Loss: 2.87 | Accuracy: 0.89
[Training] Itteration/Batch: 1525/2175: Loss: 1.37 | Accuracy: 0.98
[Training] Itteration/Batch: 1550/2175: Loss: 4.51 | Accuracy: 0.85
[Training] Itteration/Batch: 1575/2175: Loss: 2.67 | Accuracy: 0.95
[Training] Itteration/Batch: 1600/2175: Loss: 2.09 | Accuracy: 0.95
[Training] Itteration/Batch: 1625/2175: Loss: 1.94 | Accuracy: 0.98
[Training] Itteration/Batch: 1650/2175: Loss: 1.29 | Accuracy: 1.00
[Training] Itteration/Batch: 1675/2175: Loss: 1.04 | Accuracy: 1.00
[Training] Itteration/Batch: 1700/2175: Loss: 2.42 | Accuracy: 0.94
[Training] Itteration/Batch: 1725/2175: Loss: 1.49 | Accuracy: 0.98
[Training] Itteration/Batch: 1750/2175: Loss: 2.05 | Accuracy: 0.97
[Training] Itteration/Batch: 1775/2175: Loss: 1.76 | Accuracy: 0.96
[Training] Itteration/Batch: 1800/2175: Loss: 1.13 | Accuracy: 1.00
[Training] Itteration/Batch: 1825/2175: Loss: 1.82 | Accuracy: 0.96
[Training] Itteration/Batch: 1850/2175: Loss: 1.87 | Accuracy: 0.96
[Training] Itteration/Batch: 1875/2175: Loss: 3.84 | Accuracy: 0.91
[Training] Itteration/Batch: 1900/2175: Loss: 0.98 | Accuracy: 1.00
[Training] Itteration/Batch: 1925/2175: Loss: 1.43 | Accuracy: 0.98
[Training] Itteration/Batch: 1950/2175: Loss: 2.03 | Accuracy: 0.91
[Training] Itteration/Batch: 1975/2175: Loss: 1.29 | Accuracy: 0.98
[Training] Itteration/Batch: 2000/2175: Loss: 1.30 | Accuracy: 0.98
[Training] Itteration/Batch: 2025/2175: Loss: 2.02 | Accuracy: 0.92
[Training] Itteration/Batch: 2050/2175: Loss: 1.85 | Accuracy: 0.96
[Training] Itteration/Batch: 2075/2175: Loss: 2.51 | Accuracy: 0.95
[Training] Itteration/Batch: 2100/2175: Loss: 1.39 | Accuracy: 0.98
[Training] Itteration/Batch: 2125/2175: Loss: 0.98 | Accuracy: 1.00
[Training] Itteration/Batch: 2150/2175: Loss: 1.62 | Accuracy: 0.98

Epoch 1: Val Bin. F1 Majority 0.0 | Val Macro F1 Majority 0.49311234530108894 |             Val Bin F1 Individual 0.0 | Val Macro F1 Individual 0.4901042609887978 |             Val Accuracy Majority 0.9728237390518188 | Val Accuracy Individual 0.9611852169036865 | Training Loss:2.0611143112182617 |             Val Loss 1.902794361114502 | Train Runtime Millis 158094.97970808297 | Val Runtime Millis 34401.11247799359

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/2175: Loss: 2.12 | Accuracy: 0.97
[Training] Itteration/Batch:  25/2175: Loss: 1.36 | Accuracy: 0.98
[Training] Itteration/Batch:  50/2175: Loss: 0.94 | Accuracy: 1.00
[Training] Itteration/Batch:  75/2175: Loss: 1.00 | Accuracy: 1.00
[Training] Itteration/Batch: 100/2175: Loss: 1.99 | Accuracy: 0.96
[Training] Itteration/Batch: 125/2175: Loss: 1.93 | Accuracy: 0.96
[Training] Itteration/Batch: 150/2175: Loss: 2.25 | Accuracy: 0.95
[Training] Itteration/Batch: 175/2175: Loss: 2.40 | Accuracy: 0.92
[Training] Itteration/Batch: 200/2175: Loss: 2.11 | Accuracy: 0.96
[Training] Itteration/Batch: 225/2175: Loss: 1.68 | Accuracy: 0.94
[Training] Itteration/Batch: 250/2175: Loss: 0.96 | Accuracy: 1.00
[Training] Itteration/Batch: 275/2175: Loss: 1.54 | Accuracy: 0.98
[Training] Itteration/Batch: 300/2175: Loss: 0.95 | Accuracy: 1.00
[Training] Itteration/Batch: 325/2175: Loss: 1.60 | Accuracy: 0.96
[Training] Itteration/Batch: 350/2175: Loss: 1.43 | Accuracy: 0.98
[Training] Itteration/Batch: 375/2175: Loss: 2.45 | Accuracy: 0.91
[Training] Itteration/Batch: 400/2175: Loss: 1.82 | Accuracy: 0.96
[Training] Itteration/Batch: 425/2175: Loss: 1.45 | Accuracy: 0.98
[Training] Itteration/Batch: 450/2175: Loss: 1.48 | Accuracy: 0.98
[Training] Itteration/Batch: 475/2175: Loss: 1.88 | Accuracy: 0.94
[Training] Itteration/Batch: 500/2175: Loss: 1.03 | Accuracy: 0.98
[Training] Itteration/Batch: 525/2175: Loss: 1.71 | Accuracy: 0.96
[Training] Itteration/Batch: 550/2175: Loss: 3.49 | Accuracy: 0.94
[Training] Itteration/Batch: 575/2175: Loss: 2.47 | Accuracy: 0.93
[Training] Itteration/Batch: 600/2175: Loss: 0.88 | Accuracy: 1.00
[Training] Itteration/Batch: 625/2175: Loss: 2.58 | Accuracy: 0.93
[Training] Itteration/Batch: 650/2175: Loss: 1.86 | Accuracy: 0.96
[Training] Itteration/Batch: 675/2175: Loss: 3.51 | Accuracy: 0.91
[Training] Itteration/Batch: 700/2175: Loss: 1.97 | Accuracy: 0.95
[Training] Itteration/Batch: 725/2175: Loss: 0.96 | Accuracy: 1.00
[Training] Itteration/Batch: 750/2175: Loss: 1.05 | Accuracy: 1.00
[Training] Itteration/Batch: 775/2175: Loss: 4.05 | Accuracy: 0.92
[Training] Itteration/Batch: 800/2175: Loss: 8.68 | Accuracy: 0.88
[Training] Itteration/Batch: 825/2175: Loss: 0.88 | Accuracy: 1.00
[Training] Itteration/Batch: 850/2175: Loss: 2.48 | Accuracy: 0.93
[Training] Itteration/Batch: 875/2175: Loss: 2.52 | Accuracy: 0.93
[Training] Itteration/Batch: 900/2175: Loss: 2.69 | Accuracy: 0.93
[Training] Itteration/Batch: 925/2175: Loss: 1.81 | Accuracy: 0.96
[Training] Itteration/Batch: 950/2175: Loss: 2.34 | Accuracy: 0.95
[Training] Itteration/Batch: 975/2175: Loss: 1.28 | Accuracy: 0.98
[Training] Itteration/Batch: 1000/2175: Loss: 0.90 | Accuracy: 1.00
[Training] Itteration/Batch: 1025/2175: Loss: 1.77 | Accuracy: 0.96
[Training] Itteration/Batch: 1050/2175: Loss: 1.00 | Accuracy: 1.00
[Training] Itteration/Batch: 1075/2175: Loss: 1.36 | Accuracy: 0.98
[Training] Itteration/Batch: 1100/2175: Loss: 2.15 | Accuracy: 0.96
[Training] Itteration/Batch: 1125/2175: Loss: 2.76 | Accuracy: 0.91
[Training] Itteration/Batch: 1150/2175: Loss: 1.63 | Accuracy: 0.96
[Training] Itteration/Batch: 1175/2175: Loss: 1.15 | Accuracy: 0.98
[Training] Itteration/Batch: 1200/2175: Loss: 3.48 | Accuracy: 0.92
[Training] Itteration/Batch: 1225/2175: Loss: 4.39 | Accuracy: 0.91
[Training] Itteration/Batch: 1250/2175: Loss: 1.28 | Accuracy: 0.98
[Training] Itteration/Batch: 1275/2175: Loss: 1.71 | Accuracy: 0.98
[Training] Itteration/Batch: 1300/2175: Loss: 2.08 | Accuracy: 0.94
[Training] Itteration/Batch: 1325/2175: Loss: 1.22 | Accuracy: 0.98
[Training] Itteration/Batch: 1350/2175: Loss: 1.06 | Accuracy: 0.98
[Training] Itteration/Batch: 1375/2175: Loss: 1.30 | Accuracy: 0.98
[Training] Itteration/Batch: 1400/2175: Loss: 2.40 | Accuracy: 0.94
[Training] Itteration/Batch: 1425/2175: Loss: 2.49 | Accuracy: 0.91
[Training] Itteration/Batch: 1450/2175: Loss: 3.07 | Accuracy: 0.90
[Training] Itteration/Batch: 1475/2175: Loss: 0.82 | Accuracy: 1.00
[Training] Itteration/Batch: 1500/2175: Loss: 2.57 | Accuracy: 0.92
[Training] Itteration/Batch: 1525/2175: Loss: 1.15 | Accuracy: 0.98
[Training] Itteration/Batch: 1550/2175: Loss: 1.35 | Accuracy: 0.98
[Training] Itteration/Batch: 1575/2175: Loss: 1.65 | Accuracy: 0.96
[Training] Itteration/Batch: 1600/2175: Loss: 1.44 | Accuracy: 0.96
[Training] Itteration/Batch: 1625/2175: Loss: 0.81 | Accuracy: 0.94
[Training] Itteration/Batch: 1650/2175: Loss: 2.54 | Accuracy: 0.90
[Training] Itteration/Batch: 1675/2175: Loss: 3.18 | Accuracy: 0.88
[Training] Itteration/Batch: 1700/2175: Loss: 1.12 | Accuracy: 0.98
[Training] Itteration/Batch: 1725/2175: Loss: 1.48 | Accuracy: 0.96
[Training] Itteration/Batch: 1750/2175: Loss: 3.98 | Accuracy: 0.85
[Training] Itteration/Batch: 1775/2175: Loss: 1.51 | Accuracy: 0.98
[Training] Itteration/Batch: 1800/2175: Loss: 1.82 | Accuracy: 0.91
[Training] Itteration/Batch: 1825/2175: Loss: 0.93 | Accuracy: 0.94
[Training] Itteration/Batch: 1850/2175: Loss: 2.20 | Accuracy: 0.93
[Training] Itteration/Batch: 1875/2175: Loss: 1.42 | Accuracy: 0.93
[Training] Itteration/Batch: 1900/2175: Loss: 1.13 | Accuracy: 0.98
[Training] Itteration/Batch: 1925/2175: Loss: 0.92 | Accuracy: 1.00
[Training] Itteration/Batch: 1950/2175: Loss: 1.76 | Accuracy: 0.96
[Training] Itteration/Batch: 1975/2175: Loss: 2.18 | Accuracy: 0.95
[Training] Itteration/Batch: 2000/2175: Loss: 0.74 | Accuracy: 1.00
[Training] Itteration/Batch: 2025/2175: Loss: 1.79 | Accuracy: 0.93
[Training] Itteration/Batch: 2050/2175: Loss: 1.67 | Accuracy: 0.97
[Training] Itteration/Batch: 2075/2175: Loss: 1.91 | Accuracy: 0.94
[Training] Itteration/Batch: 2100/2175: Loss: 1.14 | Accuracy: 0.98
[Training] Itteration/Batch: 2125/2175: Loss: 0.69 | Accuracy: 1.00
[Training] Itteration/Batch: 2150/2175: Loss: 1.75 | Accuracy: 0.96

Epoch 2: Val Bin. F1 Majority 0.22298456728458405 | Val Macro F1 Majority 0.6014697139333645 |             Val Bin F1 Individual 0.20374898612499237 | Val Macro F1 Individual 0.5890835189326449 |             Val Accuracy Majority 0.9609179496765137 | Val Accuracy Individual 0.9504287242889404 | Training Loss:1.824676752090454 |             Val Loss 1.7550097703933716 | Train Runtime Millis 159277.7343019843 | Val Runtime Millis 34243.74498100951

______________________________	 Running Epoch 3 of 10 	______________________________
[Training] Itteration/Batch:   0/2175: Loss: 0.86 | Accuracy: 0.94
[Training] Itteration/Batch:  25/2175: Loss: 3.28 | Accuracy: 0.88
[Training] Itteration/Batch:  50/2175: Loss: 0.82 | Accuracy: 1.00
[Training] Itteration/Batch:  75/2175: Loss: 1.59 | Accuracy: 0.94
[Training] Itteration/Batch: 100/2175: Loss: 1.15 | Accuracy: 0.93
[Training] Itteration/Batch: 125/2175: Loss: 1.42 | Accuracy: 0.93
[Training] Itteration/Batch: 150/2175: Loss: 1.76 | Accuracy: 0.92
[Training] Itteration/Batch: 175/2175: Loss: 0.74 | Accuracy: 1.00
[Training] Itteration/Batch: 200/2175: Loss: 1.53 | Accuracy: 0.91
[Training] Itteration/Batch: 225/2175: Loss: 1.59 | Accuracy: 0.97
[Training] Itteration/Batch: 250/2175: Loss: 1.32 | Accuracy: 0.96
[Training] Itteration/Batch: 275/2175: Loss: 2.13 | Accuracy: 0.94
[Training] Itteration/Batch: 300/2175: Loss: 2.91 | Accuracy: 0.83
[Training] Itteration/Batch: 325/2175: Loss: 0.74 | Accuracy: 1.00
[Training] Itteration/Batch: 350/2175: Loss: 1.13 | Accuracy: 0.98
[Training] Itteration/Batch: 375/2175: Loss: 0.85 | Accuracy: 0.92
[Training] Itteration/Batch: 400/2175: Loss: 1.76 | Accuracy: 0.98
[Training] Itteration/Batch: 425/2175: Loss: 0.85 | Accuracy: 1.00
[Training] Itteration/Batch: 450/2175: Loss: 0.89 | Accuracy: 0.94
[Training] Itteration/Batch: 475/2175: Loss: 1.36 | Accuracy: 0.90
[Training] Itteration/Batch: 500/2175: Loss: 0.70 | Accuracy: 1.00
[Training] Itteration/Batch: 525/2175: Loss: 1.25 | Accuracy: 0.81
[Training] Itteration/Batch: 550/2175: Loss: 2.03 | Accuracy: 0.94
[Training] Itteration/Batch: 575/2175: Loss: 1.22 | Accuracy: 0.98
[Training] Itteration/Batch: 600/2175: Loss: 1.37 | Accuracy: 0.98
[Training] Itteration/Batch: 625/2175: Loss: 2.36 | Accuracy: 0.88
[Training] Itteration/Batch: 650/2175: Loss: 0.89 | Accuracy: 0.96
[Training] Itteration/Batch: 675/2175: Loss: 2.43 | Accuracy: 0.93
[Training] Itteration/Batch: 700/2175: Loss: 3.63 | Accuracy: 0.92
[Training] Itteration/Batch: 725/2175: Loss: 1.11 | Accuracy: 1.00
[Training] Itteration/Batch: 750/2175: Loss: 2.55 | Accuracy: 0.93
[Training] Itteration/Batch: 775/2175: Loss: 2.24 | Accuracy: 0.90
[Training] Itteration/Batch: 800/2175: Loss: 1.47 | Accuracy: 0.95
[Training] Itteration/Batch: 825/2175: Loss: 1.18 | Accuracy: 0.93
[Training] Itteration/Batch: 850/2175: Loss: 3.79 | Accuracy: 0.92
[Training] Itteration/Batch: 875/2175: Loss: 1.35 | Accuracy: 0.98
[Training] Itteration/Batch: 900/2175: Loss: 1.45 | Accuracy: 0.96
[Training] Itteration/Batch: 925/2175: Loss: 2.21 | Accuracy: 0.97
[Training] Itteration/Batch: 950/2175: Loss: 1.48 | Accuracy: 0.97
[Training] Itteration/Batch: 975/2175: Loss: 1.39 | Accuracy: 0.95
[Training] Itteration/Batch: 1000/2175: Loss: 1.43 | Accuracy: 0.96
[Training] Itteration/Batch: 1025/2175: Loss: 1.83 | Accuracy: 0.89
[Training] Itteration/Batch: 1050/2175: Loss: 1.25 | Accuracy: 0.98
[Training] Itteration/Batch: 1075/2175: Loss: 0.69 | Accuracy: 1.00
[Training] Itteration/Batch: 1100/2175: Loss: 2.01 | Accuracy: 0.95
[Training] Itteration/Batch: 1125/2175: Loss: 0.75 | Accuracy: 1.00
[Training] Itteration/Batch: 1150/2175: Loss: 1.79 | Accuracy: 0.91
[Training] Itteration/Batch: 1175/2175: Loss: 1.25 | Accuracy: 0.98
[Training] Itteration/Batch: 1200/2175: Loss: 1.98 | Accuracy: 0.88
[Training] Itteration/Batch: 1225/2175: Loss: 1.02 | Accuracy: 0.98
[Training] Itteration/Batch: 1250/2175: Loss: 2.71 | Accuracy: 0.93
[Training] Itteration/Batch: 1275/2175: Loss: 1.16 | Accuracy: 0.98
[Training] Itteration/Batch: 1300/2175: Loss: 1.01 | Accuracy: 0.98
[Training] Itteration/Batch: 1325/2175: Loss: 0.73 | Accuracy: 1.00
[Training] Itteration/Batch: 1350/2175: Loss: 1.10 | Accuracy: 0.96
