##############################	 Fold 1 	##############################
______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/1038: Loss: 0.54 | Accuracy: 0.31
[Training] Itteration/Batch: 625/1038: Loss: 0.99 | Accuracy: 0.88
[Training] Itteration/Batch: 650/1038: Loss: 0.35 | Accuracy: 0.94
[Training] Itteration/Batch: 675/1038: Loss: 0.31 | Accuracy: 0.94
[Training] Itteration/Batch: 700/1038: Loss: 0.21 | Accuracy: 0.94
[Training] Itteration/Batch: 725/1038: Loss: 0.96 | Accuracy: 0.75
[Training] Itteration/Batch: 750/1038: Loss: 0.28 | Accuracy: 0.94
[Training] Itteration/Batch: 775/1038: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 800/1038: Loss: 0.21 | Accuracy: 1.00
[Training] Itteration/Batch: 825/1038: Loss: 0.46 | Accuracy: 0.94
[Training] Itteration/Batch: 850/1038: Loss: 0.31 | Accuracy: 0.88
[Training] Itteration/Batch: 875/1038: Loss: 0.48 | Accuracy: 0.88
[Training] Itteration/Batch: 900/1038: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 925/1038: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 950/1038: Loss: 0.37 | Accuracy: 0.88
[Training] Itteration/Batch: 975/1038: Loss: 0.37 | Accuracy: 0.94
[Training] Itteration/Batch: 1000/1038: Loss: 0.53 | Accuracy: 0.88
[Training] Itteration/Batch: 1025/1038: Loss: 0.38 | Accuracy: 0.94

Epoch 6: AVG Training Loss:0.425615519285202 | Val F1 0.0 | Val Accuracy 0.9024037718772888 | Val Loss 0.4435645341873169
______________________________	 Running Epoch 7 of 10 	______________________________
[Training] Itteration/Batch:   0/1038: Loss: 0.17 | Accuracy: 0.94
[Training] Itteration/Batch:  25/1038: Loss: 0.64 | Accuracy: 0.94
[Training] Itteration/Batch:  50/1038: Loss: 0.38 | Accuracy: 0.94
[Training] Itteration/Batch:  75/1038: Loss: 0.37 | Accuracy: 0.94
[Training] Itteration/Batch: 100/1038: Loss: 0.58 | Accuracy: 0.94
[Training] Itteration/Batch: 125/1038: Loss: 0.71 | Accuracy: 0.94
[Training] Itteration/Batch: 150/1038: Loss: 1.09 | Accuracy: 0.75
[Training] Itteration/Batch: 175/1038: Loss: 0.58 | Accuracy: 0.81
[Training] Itteration/Batch: 200/1038: Loss: 0.31 | Accuracy: 0.94
[Training] Itteration/Batch: 225/1038: Loss: 0.14 | Accuracy: 1.00
[Training] Itteration/Batch: 250/1038: Loss: 0.31 | Accuracy: 0.88
[Training] Itteration/Batch: 275/1038: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 300/1038: Loss: 0.42 | Accuracy: 0.94
[Training] Itteration/Batch: 325/1038: Loss: 0.27 | Accuracy: 0.94
[Training] Itteration/Batch: 350/1038: Loss: 0.42 | Accuracy: 0.88
[Training] Itteration/Batch: 375/1038: Loss: 0.51 | Accuracy: 0.94
[Training] Itteration/Batch: 400/1038: Loss: 0.18 | Accuracy: 1.00
[Training] Itteration/Batch: 425/1038: Loss: 0.76 | Accuracy: 0.88
[Training] Itteration/Batch: 450/1038: Loss: 0.68 | Accuracy: 0.88
[Training] Itteration/Batch: 475/1038: Loss: 0.54 | Accuracy: 0.81
[Training] Itteration/Batch: 500/1038: Loss: 0.49 | Accuracy: 0.88
[Training] Itteration/Batch: 525/1038: Loss: 0.55 | Accuracy: 0.94
[Training] Itteration/Batch: 550/1038: Loss: 0.11 | Accuracy: 1.00
[Training] Itteration/Batch: 575/1038: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 600/1038: Loss: 0.39 | Accuracy: 0.81
[Training] Itteration/Batch: 625/1038: Loss: 0.25 | Accuracy: 0.94
[Training] Itteration/Batch: 650/1038: Loss: 0.31 | Accuracy: 0.94
[Training] Itteration/Batch: 675/1038: Loss: 0.54 | Accuracy: 0.88
[Training] Itteration/Batch: 700/1038: Loss: 0.08 | Accuracy: 1.00
[Training] Itteration/Batch: 725/1038: Loss: 0.37 | Accuracy: 0.88
[Training] Itteration/Batch: 750/1038: Loss: 0.42 | Accuracy: 0.94
[Training] Itteration/Batch: 775/1038: Loss: 1.02 | Accuracy: 0.88
[Training] Itteration/Batch: 800/1038: Loss: 0.67 | Accuracy: 0.75
[Training] Itteration/Batch: 825/1038: Loss: 0.61 | Accuracy: 0.88
[Training] Itteration/Batch: 850/1038: Loss: 0.39 | Accuracy: 0.88
[Training] Itteration/Batch: 875/1038: Loss: 0.24 | Accuracy: 0.94
[Training] Itteration/Batch: 900/1038: Loss: 0.91 | Accuracy: 0.69
[Training] Itteration/Batch: 925/1038: Loss: 0.39 | Accuracy: 0.88
[Training] Itteration/Batch: 950/1038: Loss: 0.46 | Accuracy: 0.88
[Training] Itteration/Batch: 975/1038: Loss: 0.57 | Accuracy: 0.81
[Training] Itteration/Batch: 1000/1038: Loss: 0.38 | Accuracy: 0.94
[Training] Itteration/Batch: 1025/1038: Loss: 0.38 | Accuracy: 0.88

Epoch 7: AVG Training Loss:0.4127306640148163 | Val F1 0.25401461124420166 | Val Accuracy 0.907645046710968 | Val Loss 0.4429711103439331
______________________________	 Running Epoch 8 of 10 	______________________________
[Training] Itteration/Batch:   0/1038: Loss: 0.59 | Accuracy: 0.81
[Training] Itteration/Batch:  25/1038: Loss: 0.37 | Accuracy: 0.88
[Training] Itteration/Batch:  50/1038: Loss: 0.45 | Accuracy: 0.94
[Training] Itteration/Batch:  75/1038: Loss: 0.74 | Accuracy: 0.88
[Training] Itteration/Batch: 100/1038: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 125/1038: Loss: 0.33 | Accuracy: 0.88
[Training] Itteration/Batch: 150/1038: Loss: 0.57 | Accuracy: 0.81
[Training] Itteration/Batch: 175/1038: Loss: 0.34 | Accuracy: 0.81
[Training] Itteration/Batch: 200/1038: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 225/1038: Loss: 0.41 | Accuracy: 0.88
[Training] Itteration/Batch: 250/1038: Loss: 0.39 | Accuracy: 0.81
[Training] Itteration/Batch: 275/1038: Loss: 0.35 | Accuracy: 0.88
[Training] Itteration/Batch: 300/1038: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 325/1038: Loss: 0.41 | Accuracy: 0.88
[Training] Itteration/Batch: 350/1038: Loss: 0.92 | Accuracy: 0.81
[Training] Itteration/Batch: 375/1038: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 400/1038: Loss: 0.43 | Accuracy: 0.88
[Training] Itteration/Batch: 425/1038: Loss: 0.24 | Accuracy: 0.88
[Training] Itteration/Batch: 450/1038: Loss: 0.56 | Accuracy: 0.81
[Training] Itteration/Batch: 475/1038: Loss: 0.22 | Accuracy: 1.00
[Training] Itteration/Batch: 500/1038: Loss: 1.52 | Accuracy: 0.75
[Training] Itteration/Batch: 525/1038: Loss: 0.65 | Accuracy: 0.75
[Training] Itteration/Batch: 550/1038: Loss: 0.25 | Accuracy: 0.94
[Training] Itteration/Batch: 575/1038: Loss: 0.32 | Accuracy: 0.94
[Training] Itteration/Batch: 600/1038: Loss: 0.26 | Accuracy: 0.88
[Training] Itteration/Batch: 625/1038: Loss: 0.83 | Accuracy: 0.81
[Training] Itteration/Batch: 650/1038: Loss: 0.49 | Accuracy: 0.88
[Training] Itteration/Batch: 675/1038: Loss: 0.24 | Accuracy: 1.00
[Training] Itteration/Batch: 700/1038: Loss: 0.92 | Accuracy: 0.69
[Training] Itteration/Batch: 725/1038: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 750/1038: Loss: 0.39 | Accuracy: 0.94
[Training] Itteration/Batch: 775/1038: Loss: 0.11 | Accuracy: 1.00
[Training] Itteration/Batch: 800/1038: Loss: 0.57 | Accuracy: 0.94
[Training] Itteration/Batch: 825/1038: Loss: 0.24 | Accuracy: 0.94
[Training] Itteration/Batch: 850/1038: Loss: 0.56 | Accuracy: 0.88
[Training] Itteration/Batch: 875/1038: Loss: 0.14 | Accuracy: 0.94
[Training] Itteration/Batch: 900/1038: Loss: 0.37 | Accuracy: 0.88
[Training] Itteration/Batch: 925/1038: Loss: 0.30 | Accuracy: 1.00
[Training] Itteration/Batch: 950/1038: Loss: 0.29 | Accuracy: 1.00
[Training] Itteration/Batch: 975/1038: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 1000/1038: Loss: 0.20 | Accuracy: 0.94
[Training] Itteration/Batch: 1025/1038: Loss: 0.18 | Accuracy: 1.00

Epoch 8: AVG Training Loss:0.40357762575149536 | Val F1 0.4045197665691376 | Val Accuracy 0.9047533273696899 | Val Loss 0.44351333379745483
##############################	 Fold 1 	##############################
______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/1038: Loss: 0.54 | Accuracy: 0.31
[Training] Itteration/Batch:  25/1038: Loss: 0.93 | Accuracy: 0.31
[Training] Itteration/Batch:  50/1038: Loss: 0.94 | Accuracy: 0.38
[Training] Itteration/Batch:  75/1038: Loss: 0.81 | Accuracy: 0.56
[Training] Itteration/Batch: 100/1038: Loss: 0.66 | Accuracy: 0.56
[Training] Itteration/Batch: 125/1038: Loss: 0.70 | Accuracy: 0.12
[Training] Itteration/Batch: 150/1038: Loss: 1.21 | Accuracy: 0.50
[Training] Itteration/Batch: 175/1038: Loss: 0.65 | Accuracy: 0.31
[Training] Itteration/Batch: 200/1038: Loss: 0.95 | Accuracy: 0.31
[Training] Itteration/Batch: 225/1038: Loss: 0.52 | Accuracy: 0.38
[Training] Itteration/Batch: 250/1038: Loss: 0.90 | Accuracy: 0.38
[Training] Itteration/Batch: 275/1038: Loss: 0.80 | Accuracy: 0.50
[Training] Itteration/Batch: 300/1038: Loss: 0.52 | Accuracy: 0.44
[Training] Itteration/Batch: 325/1038: Loss: 1.03 | Accuracy: 0.56
[Training] Itteration/Batch: 350/1038: Loss: 0.80 | Accuracy: 0.50
[Training] Itteration/Batch: 375/1038: Loss: 0.63 | Accuracy: 0.62
[Training] Itteration/Batch: 400/1038: Loss: 0.91 | Accuracy: 0.31
[Training] Itteration/Batch: 425/1038: Loss: 0.79 | Accuracy: 0.38
[Training] Itteration/Batch: 450/1038: Loss: 0.51 | Accuracy: 0.50
[Training] Itteration/Batch: 475/1038: Loss: 0.48 | Accuracy: 0.81
[Training] Itteration/Batch: 500/1038: Loss: 0.64 | Accuracy: 0.69
[Training] Itteration/Batch: 525/1038: Loss: 0.64 | Accuracy: 0.75
[Training] Itteration/Batch: 550/1038: Loss: 0.77 | Accuracy: 0.69
[Training] Itteration/Batch: 575/1038: Loss: 0.49 | Accuracy: 0.62
[Training] Itteration/Batch: 600/1038: Loss: 0.47 | Accuracy: 0.75
[Training] Itteration/Batch: 625/1038: Loss: 0.92 | Accuracy: 0.69
[Training] Itteration/Batch: 650/1038: Loss: 0.62 | Accuracy: 0.75
[Training] Itteration/Batch: 675/1038: Loss: 0.77 | Accuracy: 0.88
[Training] Itteration/Batch: 700/1038: Loss: 0.47 | Accuracy: 0.75
[Training] Itteration/Batch: 725/1038: Loss: 0.59 | Accuracy: 0.81
[Training] Itteration/Batch: 750/1038: Loss: 0.76 | Accuracy: 0.69
[Training] Itteration/Batch: 775/1038: Loss: 0.74 | Accuracy: 0.69
[Training] Itteration/Batch: 800/1038: Loss: 0.79 | Accuracy: 0.69
[Training] Itteration/Batch: 825/1038: Loss: 0.61 | Accuracy: 0.81
[Training] Itteration/Batch: 850/1038: Loss: 0.64 | Accuracy: 0.69
[Training] Itteration/Batch: 875/1038: Loss: 0.80 | Accuracy: 0.69
[Training] Itteration/Batch: 900/1038: Loss: 0.92 | Accuracy: 0.69
[Training] Itteration/Batch: 925/1038: Loss: 0.92 | Accuracy: 0.69
[Training] Itteration/Batch: 950/1038: Loss: 0.92 | Accuracy: 0.75
[Training] Itteration/Batch: 975/1038: Loss: 1.28 | Accuracy: 0.62
[Training] Itteration/Batch: 1000/1038: Loss: 0.62 | Accuracy: 0.81
[Training] Itteration/Batch: 1025/1038: Loss: 0.89 | Accuracy: 0.81

Epoch 1: AVG Training Loss:0.7002737522125244 | Val F1 0.028368793427944183 | Val Accuracy 0.9009578824043274 | Val Loss 0.6891087293624878
______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/1038: Loss: 0.81 | Accuracy: 0.88
[Training] Itteration/Batch:  25/1038: Loss: 0.62 | Accuracy: 0.81
[Training] Itteration/Batch:  50/1038: Loss: 0.63 | Accuracy: 0.88
[Training] Itteration/Batch:  75/1038: Loss: 0.75 | Accuracy: 0.81
[Training] Itteration/Batch: 100/1038: Loss: 0.47 | Accuracy: 0.88
[Training] Itteration/Batch: 125/1038: Loss: 0.59 | Accuracy: 0.94
[Training] Itteration/Batch: 150/1038: Loss: 0.71 | Accuracy: 0.88
[Training] Itteration/Batch: 175/1038: Loss: 0.63 | Accuracy: 0.81
[Training] Itteration/Batch: 200/1038: Loss: 0.61 | Accuracy: 0.94
[Training] Itteration/Batch: 225/1038: Loss: 0.44 | Accuracy: 0.81
[Training] Itteration/Batch: 250/1038: Loss: 0.77 | Accuracy: 0.81
[Training] Itteration/Batch: 275/1038: Loss: 0.88 | Accuracy: 0.88
[Training] Itteration/Batch: 300/1038: Loss: 0.56 | Accuracy: 0.94
[Training] Itteration/Batch: 325/1038: Loss: 0.59 | Accuracy: 0.94
[Training] Itteration/Batch: 350/1038: Loss: 1.21 | Accuracy: 0.62
[Training] Itteration/Batch: 375/1038: Loss: 0.55 | Accuracy: 0.94
[Training] Itteration/Batch: 400/1038: Loss: 0.88 | Accuracy: 0.81
[Training] Itteration/Batch: 425/1038: Loss: 0.74 | Accuracy: 0.88
[Training] Itteration/Batch: 450/1038: Loss: 0.44 | Accuracy: 1.00
[Training] Itteration/Batch: 475/1038: Loss: 0.60 | Accuracy: 0.88
[Training] Itteration/Batch: 500/1038: Loss: 0.57 | Accuracy: 0.94
[Training] Itteration/Batch: 525/1038: Loss: 0.58 | Accuracy: 0.88
[Training] Itteration/Batch: 550/1038: Loss: 0.90 | Accuracy: 0.75
[Training] Itteration/Batch: 575/1038: Loss: 0.60 | Accuracy: 0.88
[Training] Itteration/Batch: 600/1038: Loss: 0.95 | Accuracy: 0.81
[Training] Itteration/Batch: 625/1038: Loss: 0.60 | Accuracy: 0.94
[Training] Itteration/Batch: 650/1038: Loss: 0.69 | Accuracy: 0.88
[Training] Itteration/Batch: 675/1038: Loss: 0.81 | Accuracy: 0.81
[Training] Itteration/Batch: 700/1038: Loss: 0.91 | Accuracy: 0.75
[Training] Itteration/Batch: 725/1038: Loss: 0.74 | Accuracy: 0.88
[Training] Itteration/Batch: 750/1038: Loss: 0.71 | Accuracy: 0.81
[Training] Itteration/Batch: 775/1038: Loss: 0.41 | Accuracy: 0.81
[Training] Itteration/Batch: 800/1038: Loss: 0.72 | Accuracy: 0.88
[Training] Itteration/Batch: 825/1038: Loss: 1.04 | Accuracy: 0.69
[Training] Itteration/Batch: 850/1038: Loss: 1.06 | Accuracy: 0.75
[Training] Itteration/Batch: 875/1038: Loss: 0.40 | Accuracy: 1.00
[Training] Itteration/Batch: 900/1038: Loss: 0.90 | Accuracy: 0.81
[Training] Itteration/Batch: 925/1038: Loss: 0.72 | Accuracy: 0.88
[Training] Itteration/Batch: 950/1038: Loss: 0.73 | Accuracy: 0.88
[Training] Itteration/Batch: 975/1038: Loss: 0.52 | Accuracy: 0.88
[Training] Itteration/Batch: 1000/1038: Loss: 0.90 | Accuracy: 0.88
[Training] Itteration/Batch: 1025/1038: Loss: 0.56 | Accuracy: 0.94

Epoch 2: AVG Training Loss:0.6574581265449524 | Val F1 0.0036900369450449944 | Val Accuracy 0.9024037718772888 | Val Loss 0.6443378925323486
______________________________	 Running Epoch 3 of 10 	______________________________
[Training] Itteration/Batch:   0/1038: Loss: 0.76 | Accuracy: 0.88
[Training] Itteration/Batch:  25/1038: Loss: 0.59 | Accuracy: 0.94
[Training] Itteration/Batch:  50/1038: Loss: 0.72 | Accuracy: 0.88
[Training] Itteration/Batch:  75/1038: Loss: 0.75 | Accuracy: 0.88
[Training] Itteration/Batch: 100/1038: Loss: 0.57 | Accuracy: 0.94
[Training] Itteration/Batch: 125/1038: Loss: 0.67 | Accuracy: 0.88
[Training] Itteration/Batch: 150/1038: Loss: 0.39 | Accuracy: 0.94
[Training] Itteration/Batch: 175/1038: Loss: 0.56 | Accuracy: 0.94
[Training] Itteration/Batch: 200/1038: Loss: 0.37 | Accuracy: 1.00
[Training] Itteration/Batch: 225/1038: Loss: 0.35 | Accuracy: 1.00
[Training] Itteration/Batch: 250/1038: Loss: 0.37 | Accuracy: 1.00
[Training] Itteration/Batch: 275/1038: Loss: 0.84 | Accuracy: 0.81
[Training] Itteration/Batch: 300/1038: Loss: 0.92 | Accuracy: 0.81
[Training] Itteration/Batch: 325/1038: Loss: 0.36 | Accuracy: 1.00
[Training] Itteration/Batch: 350/1038: Loss: 0.99 | Accuracy: 0.75
[Training] Itteration/Batch: 375/1038: Loss: 0.38 | Accuracy: 1.00
[Training] Itteration/Batch: 400/1038: Loss: 0.57 | Accuracy: 0.94
[Training] Itteration/Batch: 425/1038: Loss: 0.36 | Accuracy: 1.00
[Training] Itteration/Batch: 450/1038: Loss: 0.53 | Accuracy: 0.94
[Training] Itteration/Batch: 475/1038: Loss: 0.68 | Accuracy: 0.88
[Training] Itteration/Batch: 500/1038: Loss: 0.54 | Accuracy: 0.94
[Training] Itteration/Batch: 525/1038: Loss: 0.65 | Accuracy: 0.88
[Training] Itteration/Batch: 550/1038: Loss: 0.58 | Accuracy: 0.94
[Training] Itteration/Batch: 575/1038: Loss: 0.53 | Accuracy: 0.94
[Training] Itteration/Batch: 600/1038: Loss: 0.35 | Accuracy: 1.00
[Training] Itteration/Batch: 625/1038: Loss: 0.85 | Accuracy: 0.81
[Training] Itteration/Batch: 650/1038: Loss: 0.96 | Accuracy: 0.81
[Training] Itteration/Batch: 675/1038: Loss: 0.36 | Accuracy: 1.00
[Training] Itteration/Batch: 700/1038: Loss: 0.84 | Accuracy: 0.88
[Training] Itteration/Batch: 725/1038: Loss: 0.51 | Accuracy: 0.94
[Training] Itteration/Batch: 750/1038: Loss: 0.53 | Accuracy: 0.94
[Training] Itteration/Batch: 775/1038: Loss: 0.90 | Accuracy: 0.81
[Training] Itteration/Batch: 800/1038: Loss: 0.72 | Accuracy: 0.88
[Training] Itteration/Batch: 825/1038: Loss: 0.71 | Accuracy: 0.88
[Training] Itteration/Batch: 850/1038: Loss: 0.34 | Accuracy: 1.00
[Training] Itteration/Batch: 875/1038: Loss: 0.34 | Accuracy: 1.00
[Training] Itteration/Batch: 900/1038: Loss: 0.94 | Accuracy: 0.81
[Training] Itteration/Batch: 925/1038: Loss: 0.50 | Accuracy: 0.94
[Training] Itteration/Batch: 950/1038: Loss: 0.71 | Accuracy: 0.88
[Training] Itteration/Batch: 975/1038: Loss: 0.35 | Accuracy: 1.00
[Training] Itteration/Batch: 1000/1038: Loss: 0.54 | Accuracy: 0.94
[Training] Itteration/Batch: 1025/1038: Loss: 0.89 | Accuracy: 0.81

Epoch 3: AVG Training Loss:0.6144257187843323 | Val F1 0.0 | Val Accuracy 0.9022230505943298 | Val Loss 0.618661642074585
______________________________	 Running Epoch 4 of 10 	______________________________
[Training] Itteration/Batch:   0/1038: Loss: 0.33 | Accuracy: 1.00
[Training] Itteration/Batch:  25/1038: Loss: 0.87 | Accuracy: 0.81
[Training] Itteration/Batch:  50/1038: Loss: 0.34 | Accuracy: 1.00
[Training] Itteration/Batch:  75/1038: Loss: 0.54 | Accuracy: 0.94
[Training] Itteration/Batch: 100/1038: Loss: 0.55 | Accuracy: 0.94
[Training] Itteration/Batch: 125/1038: Loss: 0.51 | Accuracy: 0.94
[Training] Itteration/Batch: 150/1038: Loss: 1.15 | Accuracy: 0.75
[Training] Itteration/Batch: 175/1038: Loss: 0.48 | Accuracy: 0.94
[Training] Itteration/Batch: 200/1038: Loss: 0.51 | Accuracy: 0.94
[Training] Itteration/Batch: 225/1038: Loss: 0.52 | Accuracy: 0.94
[Training] Itteration/Batch: 250/1038: Loss: 0.47 | Accuracy: 1.00
[Training] Itteration/Batch: 275/1038: Loss: 0.50 | Accuracy: 0.94
[Training] Itteration/Batch: 300/1038: Loss: 1.18 | Accuracy: 0.75
[Training] Itteration/Batch: 325/1038: Loss: 0.51 | Accuracy: 0.94
[Training] Itteration/Batch: 350/1038: Loss: 0.31 | Accuracy: 1.00
[Training] Itteration/Batch: 375/1038: Loss: 0.51 | Accuracy: 0.94
[Training] Itteration/Batch: 400/1038: Loss: 0.59 | Accuracy: 0.88
[Training] Itteration/Batch: 425/1038: Loss: 0.52 | Accuracy: 0.94
[Training] Itteration/Batch: 450/1038: Loss: 0.51 | Accuracy: 0.94
[Training] Itteration/Batch: 475/1038: Loss: 0.48 | Accuracy: 0.94
[Training] Itteration/Batch: 500/1038: Loss: 0.67 | Accuracy: 0.88
[Training] Itteration/Batch: 525/1038: Loss: 0.69 | Accuracy: 0.88
[Training] Itteration/Batch: 550/1038: Loss: 0.72 | Accuracy: 0.88
[Training] Itteration/Batch: 575/1038: Loss: 0.47 | Accuracy: 0.94
[Training] Itteration/Batch: 600/1038: Loss: 0.49 | Accuracy: 0.94
[Training] Itteration/Batch: 625/1038: Loss: 0.55 | Accuracy: 0.94
[Training] Itteration/Batch: 650/1038: Loss: 0.70 | Accuracy: 0.88
[Training] Itteration/Batch: 675/1038: Loss: 0.70 | Accuracy: 0.88
[Training] Itteration/Batch: 700/1038: Loss: 0.33 | Accuracy: 1.00
[Training] Itteration/Batch: 725/1038: Loss: 0.32 | Accuracy: 1.00
[Training] Itteration/Batch: 750/1038: Loss: 0.69 | Accuracy: 0.88
[Training] Itteration/Batch: 775/1038: Loss: 0.48 | Accuracy: 0.94
[Training] Itteration/Batch: 800/1038: Loss: 0.86 | Accuracy: 0.81
[Training] Itteration/Batch: 825/1038: Loss: 0.83 | Accuracy: 0.81
[Training] Itteration/Batch: 850/1038: Loss: 0.52 | Accuracy: 0.94
[Training] Itteration/Batch: 875/1038: Loss: 0.31 | Accuracy: 1.00
[Training] Itteration/Batch: 900/1038: Loss: 0.53 | Accuracy: 0.94
[Training] Itteration/Batch: 925/1038: Loss: 0.52 | Accuracy: 0.94
[Training] Itteration/Batch: 950/1038: Loss: 0.72 | Accuracy: 0.88
[Training] Itteration/Batch: 975/1038: Loss: 0.84 | Accuracy: 0.81
[Training] Itteration/Batch: 1000/1038: Loss: 1.01 | Accuracy: 0.75
[Training] Itteration/Batch: 1025/1038: Loss: 0.50 | Accuracy: 0.94

Epoch 4: AVG Training Loss:0.5947361588478088 | Val F1 0.0 | Val Accuracy 0.9022230505943298 | Val Loss 0.6069571375846863
______________________________	 Running Epoch 5 of 10 	______________________________
[Training] Itteration/Batch:   0/1038: Loss: 0.90 | Accuracy: 0.81
[Training] Itteration/Batch:  25/1038: Loss: 0.48 | Accuracy: 0.94
[Training] Itteration/Batch:  50/1038: Loss: 0.52 | Accuracy: 0.94
[Training] Itteration/Batch:  75/1038: Loss: 0.30 | Accuracy: 1.00
[Training] Itteration/Batch: 100/1038: Loss: 0.54 | Accuracy: 0.88
[Training] Itteration/Batch: 125/1038: Loss: 0.31 | Accuracy: 1.00
[Training] Itteration/Batch: 150/1038: Loss: 0.69 | Accuracy: 0.88
[Training] Itteration/Batch: 175/1038: Loss: 0.32 | Accuracy: 1.00
[Training] Itteration/Batch: 200/1038: Loss: 0.88 | Accuracy: 0.81
[Training] Itteration/Batch: 225/1038: Loss: 0.49 | Accuracy: 0.94
[Training] Itteration/Batch: 250/1038: Loss: 0.47 | Accuracy: 0.94
[Training] Itteration/Batch: 275/1038: Loss: 1.10 | Accuracy: 0.75
[Training] Itteration/Batch: 300/1038: Loss: 0.46 | Accuracy: 0.94
[Training] Itteration/Batch: 325/1038: Loss: 0.62 | Accuracy: 0.88
[Training] Itteration/Batch: 350/1038: Loss: 0.69 | Accuracy: 0.88
[Training] Itteration/Batch: 375/1038: Loss: 0.73 | Accuracy: 0.88
[Training] Itteration/Batch: 400/1038: Loss: 0.72 | Accuracy: 0.88
[Training] Itteration/Batch: 425/1038: Loss: 0.30 | Accuracy: 1.00
[Training] Itteration/Batch: 450/1038: Loss: 0.49 | Accuracy: 0.94
[Training] Itteration/Batch: 475/1038: Loss: 0.70 | Accuracy: 0.88
[Training] Itteration/Batch: 500/1038: Loss: 0.33 | Accuracy: 1.00
[Training] Itteration/Batch: 525/1038: Loss: 0.51 | Accuracy: 0.94
[Training] Itteration/Batch: 550/1038: Loss: 0.31 | Accuracy: 1.00
[Training] Itteration/Batch: 575/1038: Loss: 0.31 | Accuracy: 1.00
[Training] Itteration/Batch: 600/1038: Loss: 0.30 | Accuracy: 1.00
[Training] Itteration/Batch: 625/1038: Loss: 0.30 | Accuracy: 1.00
[Training] Itteration/Batch: 650/1038: Loss: 0.67 | Accuracy: 0.88
[Training] Itteration/Batch: 675/1038: Loss: 0.51 | Accuracy: 0.94
[Training] Itteration/Batch: 700/1038: Loss: 0.68 | Accuracy: 0.88
[Training] Itteration/Batch: 725/1038: Loss: 0.92 | Accuracy: 0.81
[Training] Itteration/Batch: 750/1038: Loss: 0.48 | Accuracy: 0.94
[Training] Itteration/Batch: 775/1038: Loss: 0.51 | Accuracy: 0.94
[Training] Itteration/Batch: 800/1038: Loss: 0.62 | Accuracy: 0.88
[Training] Itteration/Batch: 825/1038: Loss: 0.30 | Accuracy: 1.00
[Training] Itteration/Batch: 850/1038: Loss: 0.71 | Accuracy: 0.88
[Training] Itteration/Batch: 875/1038: Loss: 0.31 | Accuracy: 1.00
[Training] Itteration/Batch: 900/1038: Loss: 1.08 | Accuracy: 0.75
[Training] Itteration/Batch: 925/1038: Loss: 1.09 | Accuracy: 0.75
[Training] Itteration/Batch: 950/1038: Loss: 0.61 | Accuracy: 0.88
[Training] Itteration/Batch: 975/1038: Loss: 0.90 | Accuracy: 0.81
[Training] Itteration/Batch: 1000/1038: Loss: 0.50 | Accuracy: 0.94
[Training] Itteration/Batch: 1025/1038: Loss: 0.55 | Accuracy: 0.94

Epoch 5: AVG Training Loss:0.5878880620002747 | Val F1 0.0 | Val Accuracy 0.9022230505943298 | Val Loss 0.5997597575187683
______________________________	 Running Epoch 6 of 10 	______________________________
[Training] Itteration/Batch:   0/1038: Loss: 0.48 | Accuracy: 0.94
[Training] Itteration/Batch:  25/1038: Loss: 0.52 | Accuracy: 0.94
[Training] Itteration/Batch:  50/1038: Loss: 0.47 | Accuracy: 0.94
[Training] Itteration/Batch:  75/1038: Loss: 0.31 | Accuracy: 1.00
[Training] Itteration/Batch: 100/1038: Loss: 0.90 | Accuracy: 0.81
[Training] Itteration/Batch: 125/1038: Loss: 0.86 | Accuracy: 0.81
[Training] Itteration/Batch: 150/1038: Loss: 0.52 | Accuracy: 0.94
[Training] Itteration/Batch: 175/1038: Loss: 0.31 | Accuracy: 1.00
[Training] Itteration/Batch: 200/1038: Loss: 0.48 | Accuracy: 0.94
[Training] Itteration/Batch: 225/1038: Loss: 0.82 | Accuracy: 0.81
[Training] Itteration/Batch: 250/1038: Loss: 0.64 | Accuracy: 0.88
[Training] Itteration/Batch: 275/1038: Loss: 0.49 | Accuracy: 0.94
[Training] Itteration/Batch: 300/1038: Loss: 1.00 | Accuracy: 0.75
[Training] Itteration/Batch: 325/1038: Loss: 1.19 | Accuracy: 0.69
[Training] Itteration/Batch: 350/1038: Loss: 0.73 | Accuracy: 0.88
[Training] Itteration/Batch: 375/1038: Loss: 0.47 | Accuracy: 0.94
